T11,Intentional homicides and other crimes,,,,,
19,Americas,2005,"Intentional homicide rates per 100,000",14.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Male",26.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2010,"Intentional homicide rates per 100,000",15.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Male",28.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2018,"Intentional homicide rates per 100,000",15.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2018,"Percentage of male and female intentional homicide victims, Male",28.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
19,Americas,2018,"Percentage of male and female intentional homicide victims, Female",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2005,"Intentional homicide rates per 100,000",5.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2010,"Intentional homicide rates per 100,000",4.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",7.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2017,"Intentional homicide rates per 100,000",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2017,"Percentage of male and female intentional homicide victims, Male",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2017,"Percentage of male and female intentional homicide victims, Female",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
21,Northern America,2018,"Intentional homicide rates per 100,000",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2005,"Intentional homicide rates per 100,000",17.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2005,"Percentage of male and female intentional homicide victims, Male",30.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2005,"Percentage of male and female intentional homicide victims, Female",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2010,"Intentional homicide rates per 100,000",17.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2010,"Percentage of male and female intentional homicide victims, Male",30.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2010,"Percentage of male and female intentional homicide victims, Female",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2017,"Intentional homicide rates per 100,000",14.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2017,"Percentage of male and female intentional homicide victims, Male",27.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2017,"Percentage of male and female intentional homicide victims, Female",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
29,Caribbean,2018,"Intentional homicide rates per 100,000",12.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2005,"Intentional homicide rates per 100,000",16.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2005,"Percentage of male and female intentional homicide victims, Male",28.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2005,"Percentage of male and female intentional homicide victims, Female",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2010,"Intentional homicide rates per 100,000",27.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2010,"Percentage of male and female intentional homicide victims, Male",49.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2010,"Percentage of male and female intentional homicide victims, Female",5.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2017,"Intentional homicide rates per 100,000",26.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2017,"Percentage of male and female intentional homicide victims, Male",46.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2017,"Percentage of male and female intentional homicide victims, Female",5.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
13,Central America,2018,"Intentional homicide rates per 100,000",28.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2005,"Intentional homicide rates per 100,000",21.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2005,"Percentage of male and female intentional homicide victims, Male",40.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2005,"Percentage of male and female intentional homicide victims, Female",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2010,"Intentional homicide rates per 100,000",20.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2010,"Percentage of male and female intentional homicide victims, Male",38.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2010,"Percentage of male and female intentional homicide victims, Female",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2017,"Intentional homicide rates per 100,000",23.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2017,"Percentage of male and female intentional homicide victims, Male",44.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2017,"Percentage of male and female intentional homicide victims, Female",4.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
5,South America,2018,"Intentional homicide rates per 100,000",21.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2005,"Intentional homicide rates per 100,000",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2010,"Intentional homicide rates per 100,000",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2010,"Percentage of male and female intentional homicide victims, Male",3.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2018,"Intentional homicide rates per 100,000",2.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2018,"Percentage of male and female intentional homicide victims, Male",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
142,Asia,2018,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2005,"Intentional homicide rates per 100,000",6.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Male",10.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2010,"Intentional homicide rates per 100,000",5.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Male",8.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2017,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2017,"Percentage of male and female intentional homicide victims, Male",5.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2017,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
143,Central Asia,2018,"Intentional homicide rates per 100,000",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2010,"Intentional homicide rates per 100,000",0.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2017,"Intentional homicide rates per 100,000",0.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2017,"Percentage of male and female intentional homicide victims, Male",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2017,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
30,Eastern Asia,2018,"Intentional homicide rates per 100,000",0.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2017,"Intentional homicide rates per 100,000",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2017,"Percentage of male and female intentional homicide victims, Male",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2017,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
35,South-eastern Asia,2018,"Intentional homicide rates per 100,000",2.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2005,"Intentional homicide rates per 100,000",4.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2010,"Intentional homicide rates per 100,000",3.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2017,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2017,"Percentage of male and female intentional homicide victims, Male",6.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2017,"Percentage of male and female intentional homicide victims, Female",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
145,Western Asia,2018,"Intentional homicide rates per 100,000",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2005,"Intentional homicide rates per 100,000",6.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2010,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2010,"Percentage of male and female intentional homicide victims, Male",5.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2010,"Percentage of male and female intentional homicide victims, Female",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2018,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2018,"Percentage of male and female intentional homicide victims, Male",4.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
150,Europe,2018,"Percentage of male and female intentional homicide victims, Female",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2005,"Intentional homicide rates per 100,000",13.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2005,"Percentage of male and female intentional homicide victims, Male",21.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2005,"Percentage of male and female intentional homicide victims, Female",6.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2010,"Intentional homicide rates per 100,000",6.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2010,"Percentage of male and female intentional homicide victims, Male",13.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2010,"Percentage of male and female intentional homicide victims, Female",4.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2017,"Intentional homicide rates per 100,000",5.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2017,"Percentage of male and female intentional homicide victims, Male",9.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2017,"Percentage of male and female intentional homicide victims, Female",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
151,Eastern Europe,2018,"Intentional homicide rates per 100,000",5.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2005,"Intentional homicide rates per 100,000",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2005,"Percentage of male and female intentional homicide victims, Male",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2005,"Percentage of male and female intentional homicide victims, Female",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2010,"Intentional homicide rates per 100,000",1.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2010,"Percentage of male and female intentional homicide victims, Male",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2010,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2017,"Intentional homicide rates per 100,000",1.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2017,"Percentage of male and female intentional homicide victims, Male",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2017,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
154,Northern Europe,2018,"Intentional homicide rates per 100,000",1.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2005,"Intentional homicide rates per 100,000",1.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2005,"Percentage of male and female intentional homicide victims, Male",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2005,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2010,"Intentional homicide rates per 100,000",1.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2010,"Percentage of male and female intentional homicide victims, Male",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2010,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2017,"Intentional homicide rates per 100,000",0.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2017,"Percentage of male and female intentional homicide victims, Male",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2017,"Percentage of male and female intentional homicide victims, Female",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
39,Southern Europe,2018,"Intentional homicide rates per 100,000",0.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2005,"Intentional homicide rates per 100,000",1.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2005,"Percentage of male and female intentional homicide victims, Male",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2005,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2010,"Intentional homicide rates per 100,000",1.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2010,"Percentage of male and female intentional homicide victims, Male",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2010,"Percentage of male and female intentional homicide victims, Female",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2017,"Intentional homicide rates per 100,000",1.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2017,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2017,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
155,Western Europe,2018,"Intentional homicide rates per 100,000",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
9,Oceania,2005,"Intentional homicide rates per 100,000",3.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
9,Oceania,2005,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
9,Oceania,2005,"Percentage of male and female intentional homicide victims, Female",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
9,Oceania,2010,"Intentional homicide rates per 100,000",3.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
9,Oceania,2010,"Percentage of male and female intentional homicide victims, Male",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
9,Oceania,2010,"Percentage of male and female intentional homicide victims, Female",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed July 2021."
